a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
462.5714286,1240.428571,130.5714286,926.7142857,1654.142857,91.42857143,1429.857143,3.1,3.3,3.1,3
446.2857143,1121.142857,102.2857143,797.5714286,1398.571429,98.28571429,1404.857143,3.3,3.1,3,3.7
268.2857143,983.1428571,82.14285714,679.1428571,1231.571429,71.85714286,1201.428571,3.1,3,3.7,
321,924,82,768.1428571,1437.857143,60.42857143,1378.714286,3,3.7,,
313.2857143,794.2857143,72,759.5714286,1341.857143,25.57142857,1334.714286,3.7,,,2.9
298.1428571,882.4285714,61.42857143,824,1405.142857,28.14285714,1376.428571,,,2.9,3
278.5714286,899.4285714,62.14285714,852.4285714,1524.571429,17.42857143,1400.428571,,2.9,3,2.9
289.2857143,903.4285714,70.57142857,858,1301.428571,34.57142857,1382.571429,2.9,3,2.9,2.8
292.7142857,876.1428571,55.57142857,825.1428571,1344.428571,9.285714286,1369.857143,3,2.9,2.8,3.1
367.4285714,855.8571429,83.42857143,852.4285714,1350.285714,45.85714286,1369,2.9,2.8,3.1,3.3
606.8571429,1069.857143,147.2857143,944,1456,68.42857143,1478.142857,2.8,3.1,3.3,3.5
1067.428571,1172.857143,227.5714286,993.1428571,1644.571429,105.8571429,1611.142857,3.1,3.3,3.5,3.6
1206.285714,1266.857143,300.5714286,1034.571429,1872.428571,139,1765.428571,3.3,3.5,3.6,4.3
1609.142857,1552,436.2857143,1076.142857,2122.857143,139,2105.714286,3.5,3.6,4.3,5
2187,1999.857143,562.5714286,1130.714286,2286.714286,249.4285714,2458.857143,3.6,4.3,5,6
